Gender,First Name (Devanagari),Middle Name (Devanagari),Last Name (Devanagari),First Name (Roman),Middle Name (Roman),Last Name (Roman),Alternative Roman Spellings,age,caseType,caseFIR,location
1,प्रेम,बहादुर,राना,Prem,Bahadur,Rana,"Prem Rana, P. Rana, Prem Bahadur Rana",35,Victim,FIR-2014-359,Bangalore
0,निलु,,श्रेस्ठ,Nilu,,Shrestha,"Nilu Sresta, Nilu  Shresthaa, Nilu Shresth",37,Victim,FIR-2018-893,Madhya Pradesh
0,देवा,राउत,क्षेत्री,Deva,Raut,Chhetri,"Deva R. Chhetri, Deva Raut Chhetri, Deva Chhetr",53,Suspect,FIR-2023-223,Chennai
0,राधा,देवी,साह,Radha,Devi,Shah,"Radha Devi Shaah, Radha Sha, Radha D. Shah",28,Suspect,FIR-2022-820,Madhya Pradesh
1,दिलीप,,पाईजा,Dilip,,Paija,"Dilip  Paaijaa, Dilip Paij, D. Paija",33,Suspect,FIR-2000-992,Madhya Pradesh
1,रुस्तम,,अंसारी,Rustam,,Ansari,"Rustam  Ansari, Rustam  Ansaari, Rustam Ansar",32,Victim,FIR-2009-980,Bangalore
1,पदम,,भुल,padam,,bhul,"padam bhul, p. bhul, padam bhu",33,Victim,FIR-2001-967,Madhya Pradesh
0,पार्वती,,वर्मा,Parvati,,Verma,"Parvati  Vermaa, Parvati  Verma, Parvati Verm",41,Suspect,FIR-2007-537,Madhya Pradesh
0,तनु,,गुरुङ्ग,Tanu,,Gurung,"Tanu  Gurung, Tanu Gurung, T. Gurung",57,Criminal,FIR-2014-681,Madhya Pradesh
1,चन्द्र,मान,बस्नेत,Chandra,Maan,Basnet,"C. Basnet, Chandra Maan Baasnet, Chandra Basnet",34,Suspect,FIR-2017-895,Bangalore
0,चन्द्रा,,चन्द,chandra,,chand,"c. chand, chandra  chaand, chandra cand",26,Witness,FIR-2003-385,Kolkata
1,कृष्ण,राज,भट्ट,Krishna,Raj,Bhatt,"Krishna Batt, K. Bhatt, Krishna Bhatt",23,Witness,FIR-2021-527,Chennai
1,लोक,राज,रेग्मी,Lok,Raj,Regmi,"Lok Raj Regmi, Lok Regm, Lok R. Regmi",53,Suspect,FIR-2015-842,Delhi
1,हेम,बहादुर,गुरुङ,hem,bahadur,gurung,"h. gurung, hem bahadur gurung, hem gurun",57,Criminal,FIR-2021-702,Bangalore
1,अजय,,बज्राचार्य,Ajay,,Bajracharya,"Ajay  Baajraachaaryaa, Ajay  Bajracharya, Ajay  Bajracharia",56,Witness,FIR-2014-969,Delhi
0,सन,माया,तामाङ्ग,sun,maya,tamang,"sun maya tamang, s. tamang, sun m. tamang",38,Witness,FIR-2003-102,Kolkata
0,मञ्जु,,खड्का,Manju,,Khadka,"Manju Khadk, Manju Kadka, Manju . Khadka",23,Suspect,FIR-2023-837,Mumbai
1,सुरेन्द्र,कुमार,श्रेष्ठ,Surendra,Kumar,Shrestha,"Surendra Kumar Shrestha, Surendra Shresth, Surendra Shrestha",18,Witness,FIR-2003-203,Kolkata
1,प्रताप,,बुढाथोकी,Pratap,,Budhathoki,"Pratap  Budhathoki, Pratap  Budhaathoki, Pratap Budhathok",43,Criminal,FIR-2018-581,Pune
1,रने,,पार्की,Rane,,Park,"Rane . Park, Rane  Paark, Rane Par",30,Witness,FIR-2000-639,Bangalore
1,दावा,धार्के,शेर्पा,Dawa,Dharke,Sherpa,"Dawa Dharke Sherpa, Dawa Serpa, Dawa Sherpa",59,Witness,FIR-2007-799,Madhya Pradesh
0,विद्या,,गौतम,Vidya,,Gautam,"Vidya Gautam, Vidya  Gaautaam, Vidya Gauta",59,Criminal,FIR-2001-954,Madhya Pradesh
0,चन्द्रा,देवी,मौनी,Chandra,Devi,Mouni,"Chandra D. Mouni, Chandra Mouni, Chandra Devi Mouni",40,Criminal,FIR-2012-514,Madhya Pradesh
1,चन्द्र,बहादुर,बोगटी,Chandra,Bahadur,Bogti,"C. Bogti, Chandra Bogt, Chandra Bahadur Bogti",55,Victim,FIR-2014-768,Madhya Pradesh
0,सरिता,,अधिकारी,Sarita,,Adhikari,"Sarita Adikari, Sarita . Adhikari, Sarita Adhikari",59,Witness,FIR-2012-182,Mumbai
1,अइत,बहादुर,श्रेष्‍ठ,ait,bahadur,shreshtha,"ait bahadur shreshthaa, ait shreshtha, a. shreshtha",58,Witness,FIR-2023-221,Kolkata
1,सागर,,तामाङ,Sagar,,Tamang,"Sagar Tamang, S. Tamang, Sagar Taman",54,Suspect,FIR-2002-582,Mumbai
1,मुरारी,राज,चौधरी,Murari,Raj,Chowdhary,"Murari Cowdary, Murari Raj Chowdhaary, Murari Chowdhar",54,Suspect,FIR-2017-523,Jaipur
0,मान,माया,लिम्बु,Maan,Maya,Limbu,"M. Limbu, Maan Maya Limbu, Maan Limb",58,Witness,FIR-2014-594,Madhya Pradesh
0,रितु,,जि.सी.,Ritu,,G.C.,"Ritu . G.C., R. G.C., Ritu G.C",24,Suspect,FIR-2004-172,Madhya Pradesh
1,गोविन्द,प्रसाद,शर्मा,Govind,Prasad,Sharma,"Govind Prasad Shaarmaa, Govind P. Sharma, Govind Sarma",43,Victim,FIR-2024-775,Kolkata
0,बबी,कुमारी,मणडल,Babi,Kumari,Mandal,"B. Mandal, Babi Kumari Mandal, Babi K. Mandal",41,Victim,FIR-2013-315,Mumbai
0,जिलाई,,खटिक,District,,Khatik,"District Khati, District  Khatik, District Khatik",40,Victim,FIR-2020-145,Chennai
1,टेक,बहादुर,खत्री,Tek,Bahadur,Khatri,"Tek Bahadur Khatri, Tek B. Khatri, T. Khatri",32,Witness,FIR-2022-131,Bangalore
0,मिरा,गुरुङ,श्रेष्‍ठ,Mira,Gurung,Best,"M. Best, Mira G. Best, Mira Gurung Best",39,Victim,FIR-2007-215,Madhya Pradesh
1,अम्‍बर,बहादुर,गोले,Ambar,Bahadur,Gole,"Ambar Gole, Ambar Gol, Ambar B. Gole",25,Victim,FIR-2022-982,Madhya Pradesh
0,देव,कलिया,लोहारीन,Dev,Kaliya,Loharin,"Dev Lohari, Dev Loharin, Dev Loarin",26,Criminal,FIR-2022-942,Bangalore
0,मखु,माया,तामाङ,Makhu,Maya,Tamang,"M. Tamang, Makhu Tamang, Makhu M. Tamang",41,Witness,FIR-2023-341,Hyderabad
0,लिला,,मल्ल,Lila,,Mall,"Lila  Mall, Lila . Mall, Lila Mal",53,Suspect,FIR-2005-346,Madhya Pradesh
1,सांग,बहादुर,राई,Song,Bahadur,Rai,"Song Rai, Song Ra, S. Rai",58,Criminal,FIR-2005-285,Bangalore
0,रेजिना,,सापकोटा,Regina,,Sapkota,"Regina Sapkota, Regina . Sapkota, R. Sapkota",49,Victim,FIR-2008-462,Madhya Pradesh
0,तारा,देवी,दनुवार,Tara,Devi,Danuwar,"Tara Danuwa, Tara Devi Danuwar, Tara Danuwar",57,Witness,FIR-2014-549,Madhya Pradesh
0,कृष्ण,माया,भुजेल,Krishna,Maya,Bhujel,"Krishna M. Bhujel, K. Bhujel, Krishna Bhujel",24,Witness,FIR-2017-829,Delhi
0,माया,,चन्द,maya,,chand,"maya  chand, maya  chaand, maya chan",55,Criminal,FIR-2022-856,Delhi
1,उमेश,कुमार,शाही,Umesh,Kumar,Shahi,"Umesh Shah, Umesh Kumar Shahi, Umesh Sai",25,Victim,FIR-2002-567,Madhya Pradesh
0,कविता,,देवी,Kavita,,Devi,"Kavita Dev, Kavita  Devi, Kavita . Devi",47,Criminal,FIR-2000-536,Madhya Pradesh
0,जुना,,आलेमगर,Juna,,Alemgar,"Juna Alemga, Juna  Alemgar, J. Alemgar",60,Victim,FIR-2008-620,Madhya Pradesh
1,लोतो,,पुन,Lotto,,Re,"Lotto  Re, Lotto Re, L. Re",43,Witness,FIR-2010-632,Bangalore
0,कमल,कुमारी,कमानी),Kamal,Kumari,Kamani),"Kamal K. Kamani), Kamal Kamani), Kamal Kumari Kamani)",50,Suspect,FIR-2017-332,Mumbai
0,अनिता,,घर्तीमगर,Anita,,Ghartimagar,"Anita Ghartimagar, Anita . Ghartimagar, A. Ghartimagar",49,Victim,FIR-2000-266,Madhya Pradesh
1,गोपाल,,विश्वकर्मा,Gopal,,Vishwakarma,"Gopal Viswakarma, Gopal . Vishwakarma, Gopal  Vishwakarma",51,Witness,FIR-2009-539,Madhya Pradesh
1,नवल,किशोर,हजाम,Nawal,Kishore,Barber,"Nawal K. Barber, Nawal Kishore Baarber, Nawal Barbe",32,Suspect,FIR-2003-999,Kolkata
1,उत्तम,,घिमिरे,Uttam,,Ghimire,"Uttam  Ghimire, Uttam Gimire, Uttam Ghimir",20,Criminal,FIR-2004-617,Hyderabad
1,नगेन्द्र,तुम्सा,लिम्बु,Nagendra,Tumsa,Limbu,"N. Limbu, Nagendra T. Limbu, Nagendra Limb",52,Witness,FIR-2023-796,Delhi
0,अनिशा,,थापा,anisha,,thapa,"anisha thap, anisha  thaapaa, anisha thapa",50,Victim,FIR-2022-716,Madhya Pradesh
1,जोगिन्द्र,,सहनी,joginder,,sahani,"joginder sahan, joginder . sahani, joginder sahani",51,Suspect,FIR-2006-445,Bangalore
0,सुप्रीया,,रोकाय,supriya,,rokay,"supriya  rokai, s. rokay, supriya  rokay",52,Criminal,FIR-2001-904,Delhi
0,सुस्मा,,लिम्बु,Susma,,Limbu,"Susma Limb, S. Limbu, Susma  Limbu",35,Suspect,FIR-2013-889,Delhi
0,दुर्गी,थापा,मगर,Durgi,Thapa,Magar,"D. Magar, Durgi Magar, Durgi Thapa Magar",50,Suspect,FIR-2013-570,Chennai
1,अशोक,,यादव,Ashok,,Yadav,"Ashok  Yadav, A. Yadav, Ashok . Yadav",37,Suspect,FIR-2010-600,Pune
1,टेक,बहादुर,ठकुरी,Tech,Bahadur,Thakuri,"Tech Bahadur Thakuri, Tech Thakuri, Tech B. Thakuri",47,Witness,FIR-2007-295,Kolkata
0,अशिया,कुमारी,मंडल,Ashiya,Kumari,Mandal,"Ashiya Manda, Ashiya Kumari Mandal, Ashiya Mandal",21,Victim,FIR-2001-803,Kolkata
1,करे,,कामी,do,,lusty,"do lusty, do lust, d. lusty",49,Criminal,FIR-2004-771,Mumbai
0,डिला,,खड्का,Dila,,Khadka,"Dila Kadka, D. Khadka, Dila Khadka",25,Suspect,FIR-2001-602,Bangalore
1,अमृत,,खड्गी,Amrit,,Khadgi,"Amrit  Khaadgi, Amrit Khadg, A. Khadgi",36,Criminal,FIR-2022-987,Madhya Pradesh
1,मिन,बहादुर,डाङ्गी,Min,Bahadur,Dangi,"Min Dang, Min B. Dangi, Min Dangi",32,Criminal,FIR-2013-350,Madhya Pradesh
1,ज्ञानु,,डगौरा,Gyan,,Dagaura,"Gyan  Daagaauraa, G. Dagaura, Gyan Dagaura",18,Victim,FIR-2009-119,Hyderabad
1,अशोक,,वली,Ashok,,Wali,"Ashok  Waali, Ashok  Wali, A. Wali",24,Suspect,FIR-2017-207,Bangalore
1,इसुक,अली,धुनिया,Ishq,Ali,Dhunia,"Ishq A. Dhunia, Ishq Ali Dhuniaa, I. Dhunia",18,Criminal,FIR-2011-765,Kolkata
0,ज्योती,माया,मगर,The,light,sleep,"The light sleep, The slee, The sleep",32,Victim,FIR-2023-903,Chennai
0,थुमी,,कुँवर,Thumi,,Kunwar,"Thumi Kunwar, Thumi  Kunwar, T. Kunwar",39,Witness,FIR-2024-666,Chennai
0,विन्दु,,श्रेष्‍ठ,point,is,best,"point best, point bes, p. best",43,Witness,FIR-2018-276,Madhya Pradesh
0,गोमा,,रिजाल,goma,,rizal,"goma rizal, goma . rizal, goma  rizaal",18,Witness,FIR-2023-109,Hyderabad
1,देवेन्द्र,प्रसाद,उपाध्याय,Devendra,Prasad,Upadhyay,"Devendra Prasad Upadhiai, Devendra P. Upadhyay, Devendra Upadyay",41,Suspect,FIR-2020-220,Madhya Pradesh
0,पुजा,कुमारी,राउत,Puja,Kumari,Raut,"Puja K. Raut, Puja Kumari Raut, P. Raut",23,Criminal,FIR-2005-122,Chennai
1,भुवान,सिंह,लिम्बु,Bhuwan,Singh,Limbu,"Bhuwan S. Limbu, B. Limbu, Bhuwan Singh Limbu",39,Criminal,FIR-2015-602,Mumbai
0,सृजना,,माझी,srujana,,majhi,"srujana majhi, srujana  majhi, srujana . majhi",44,Criminal,FIR-2006-674,Bangalore
1,सिता,राम,खनाल,Sita,Ram,Khanal,"Sita R. Khanal, Sita Khana, Sita Khanal",20,Suspect,FIR-2011-415,Madhya Pradesh
0,उमा,,बिष्‍ट,Uma,,Bisht,"Uma . Bisht, Uma  Bisht, Uma Bisht",45,Suspect,FIR-2019-886,Madhya Pradesh
0,चन्द्र,माया,प्रधान,Chandra,Maya,Pradhan,"Chandra M. Pradhan, Chandra Maya Praadhaan, Chandra Maya Pradhan",36,Witness,FIR-2020-359,Bangalore
1,इन्द्र,बहादुर,थापा,Indra,Bahadur,Thapa,"Indra Thapa, Indra Thap, Indra Bahadur Thapa",55,Witness,FIR-2024-316,Jaipur
1,सुनिल,,गुरुङ,Sunil,,Gurung,"Sunil  Gurung, Sunil Gurun, Sunil . Gurung",45,Criminal,FIR-2015-539,Hyderabad
0,दिपिका,,पौडेल(डि.सी),Dipika,,Paudel(D.C),"Dipika Paudel(D.C, Dipika . Paudel(D.C), Dipika  Paudel(D.C)",36,Witness,FIR-2003-828,Chennai
0,विष्णु,माया,पौडेल,Vishnu,Maya,Paudel,"Vishnu M. Paudel, Vishnu Maya Paaudel, Vishnu Paudel",51,Suspect,FIR-2017-426,Bangalore
1,बल,बहादुर,सार्की,Bal,Bahadur,Sarki,"Bal Bahadur Saarki, Bal Sark, Bal Sarki",20,Witness,FIR-2012-260,Kolkata
1,प्रकाश,डगौरा,थारु,Prakash,Dagaura,Tharu,"Prakash Tharu, Prakash Dagaura Tharu, P. Tharu",31,Criminal,FIR-2015-763,Hyderabad
1,निरञ्‍जन,,सिग्‍देल,Niranjan,,Sigdel,"Niranjan Sigde, Niranjan  Sigdel, N. Sigdel",20,Suspect,FIR-2015-447,Kolkata
0,प्रनिया,,देवी,praniya,,devi,"praniya . devi, p. devi, praniya devi",51,Criminal,FIR-2022-752,Mumbai
1,पृथी,,थापा,prithi,,thapa,"prithi  thapa, prithi tapa, prithi thap",35,Victim,FIR-2014-598,Madhya Pradesh
0,सरस्वती,,सुद्धकार,Saraswati,,Sudhakar,"Saraswati  Sudhakar, Saraswati Sudhaka, Saraswati Sudakar",39,Suspect,FIR-2011-867,Hyderabad
0,आस,माया,मानन्‍धर,hope,maya,manandhar,"hope manandar, hope m. manandhar, hope manandha",29,Suspect,FIR-2005-372,Kolkata
0,शारदा,,सापकोटा,Sharda,,Sapkota,"Sharda Sapkota, Sharda  Saapkotaa, Sharda . Sapkota",26,Suspect,FIR-2024-942,Delhi
0,हीका,,रोकामगर,Heeka,,Rokamagar,"Heeka Rokamaga, Heeka  Rokaamaagaar, Heeka Rokamagar",25,Victim,FIR-2005-590,Madhya Pradesh
0,पवित्रा,,कार्की,Pavitra,,Karki,"Pavitra  Karki, Pavitra Karki, Pavitra  Kaarki",51,Suspect,FIR-2000-740,Delhi
1,नन्द,राज,पोखरेल,Nand,Raj,Pokharel,"Nand Raj Pokharel, Nand Pokarel, Nand Pokharel",54,Suspect,FIR-2014-748,Hyderabad
0,मन्दीरा,खडका,भट्टराइ,Mandira,Khadka,Bhattarai,"Mandira Khadka Bhaattaaraai, Mandira Battarai, Mandira Bhattarai",20,Victim,FIR-2012-224,Bangalore
1,प्रदिप,कुमार,मगर,Pradeep,Kumar,Magar,"P. Magar, Pradeep Maga, Pradeep Magar",58,Suspect,FIR-2018-250,Delhi
1,जनक,विर,मगर,Janak,Vir,Magar,"Janak Magar, Janak Vir Maagaar, Janak Maga",29,Suspect,FIR-2015-941,Kolkata
0,कुसुम,,देवी,Kusum,,Devi,"Kusum Devi, Kusum Dev, Kusum  Devi",25,Witness,FIR-2021-450,Delhi
1,रामअशिस,मण्‍डल,केवटत्त,Rama,Ashish,Kevattatt,"R. Kevattatt, Rama Ashish Kevattatt, Rama Kevattat",38,Witness,FIR-2017-486,Madhya Pradesh
1,भानुभक्त,,पाण्डे,Bhanubhakt,,Pandey,"Bhanubhakt Pande, Bhanubhakt . Pandey, Bhanubhakt  Paandey",35,Criminal,FIR-2000-267,Hyderabad
1,बम,बहादुर,थापा,Bam,Bahadur,Thapa,"Bam Thapa, Bam B. Thapa, Bam Thap",30,Victim,FIR-2000-958,Bangalore
0,सुमित्रा,,चेम्जोङ,Sumitra,,Chemjong,"Sumitra Cemjong, Sumitra Chemjong, Sumitra Chemjon",51,Witness,FIR-2003-517,Mumbai
1,रामप्रताप,राय,दाहा,Rampratap,Rai,Daha,"Rampratap Daa, Rampratap Rai Daahaa, Rampratap Daha",34,Victim,FIR-2019-652,Bangalore
0,सम्झना,,थारु,remember,,tharu,"remember tharu, remember . tharu, remember  tharu",25,Victim,FIR-2001-133,Mumbai
1,दिनानाथ,,पासवान,Dinanath,,Paswan,"Dinanath . Paswan, Dinanath  Paswan, Dinanath Paswan",20,Suspect,FIR-2020-520,Madhya Pradesh
1,सत्‍य,नारायण,महतो,satya,narayan,mahato,"satya narayan mahato, satya narayan maahaato, satya mahato",37,Victim,FIR-2015-919,Bangalore
0,रन्जु,कुमारी,सदाय,Ranju,Kumari,Saday,"R. Saday, Ranju K. Saday, Ranju Sada",39,Suspect,FIR-2017-456,Bangalore
0,निर्मला,कुमारी,यादव,Nirmala,Kumari,Yadav,"N. Yadav, Nirmala Yada, Nirmala K. Yadav",22,Witness,FIR-2005-487,Kolkata
1,विष्‍णु,कुमार,न्यौपाने,Vishnu,Kumar,Nyupane,"Vishnu Nyupan, Vishnu Kumar Nyupaane, Vishnu Kumar Nyupane",47,Victim,FIR-2008-335,Delhi
