Names,voter_gender,age,caseType,caseFIR,location
Rajesh Kumar Vudhathoki,1,57,Suspect,FIR-2004-904,Ujjain
h. blacksmith,1,32,Criminal,FIR-2024-335,Satna
Devilal Bhandari,1,48,Victim,FIR-2002-313,Satna
Pushpa Raisa,0,55,Suspect,FIR-2019-659,Dewas
A. Yadav,0,26,Criminal,FIR-2013-108,Satna
Amrita Kumari Majhi,0,58,Victim,FIR-2020-645,Dewas
dumber kumari laavaati,0,50,Witness,FIR-2002-541,Rewa
Sujan  Nyupane,1,29,Victim,FIR-2020-748,Gwalior
A. Dhunia,1,21,Victim,FIR-2013-387,Bhopal
Hira Maya Shresthaa,0,24,Criminal,FIR-2021-708,Indore
S. Singh,1,31,Suspect,FIR-2010-615,Gwalior
charity brave vishwakarma,1,45,Criminal,FIR-2005-114,Indore
Ishq Ali Dhuniaa,1,38,Criminal,FIR-2005-388,Dewas
Padam Magar,1,26,Victim,FIR-2001-176,Gwalior
Sunil  Gurung,1,47,Suspect,FIR-2023-992,Sagar
Ramesh . Chand,1,55,Criminal,FIR-2002-327,Satna
Diksha  Kadel,0,58,Criminal,FIR-2001-574,Ujjain
Pratap . Luitel,1,25,Suspect,FIR-2005-677,Bhopal
Umesh Sai,1,19,Suspect,FIR-2001-827,Dewas
Radha Devi Shah,0,48,Witness,FIR-2021-391,Indore
Lok Bahadur Aryal,1,20,Suspect,FIR-2013-118,Ujjain
Pramod R. Chowdhury,1,47,Witness,FIR-2014-720,Ujjain
Sony . Manihar,0,60,Witness,FIR-2011-336,Satna
Anti K. Majhi,0,55,Witness,FIR-2000-618,Dewas
always on move,1,50,Victim,FIR-2017-933,Satna
Kamla K. Jha,1,30,Criminal,FIR-2008-230,Dewas
Rajaram . Yadav,1,48,Witness,FIR-2012-584,Jabalpur
Saraswati Devi Awasthi,0,58,Victim,FIR-2017-382,Satna
S. Saud,1,42,Suspect,FIR-2022-643,Satna
Ram Kuwari Tharu,0,39,Criminal,FIR-2014-584,Sagar
Meena  Paant,0,44,Victim,FIR-2013-452,Satna
Kamala  Vaayaalkoti,0,45,Witness,FIR-2006-936,Dewas
Chet Bahadur Chidi,1,57,Witness,FIR-2018-378,Sagar
Rupa . Katuwal,0,35,Victim,FIR-2001-650,Satna
G. Rajvanshi,0,37,Witness,FIR-2024-623,Sagar
Gulnaz  Khatun,0,46,Victim,FIR-2007-960,Jabalpur
Munu  Rai,0,38,Witness,FIR-2013-858,Satna
A. Mandal,0,35,Victim,FIR-2007-697,Bhopal
Daivalal  Ghising,1,23,Criminal,FIR-2004-421,Satna
Bhagwati Nyupan,0,47,Witness,FIR-2007-166,Indore
Jokhani D. Tharuni,0,18,Victim,FIR-2008-371,Satna
Shyam Milan Yaadaav,1,36,Victim,FIR-2013-537,Ujjain
D. Kunwar,1,55,Criminal,FIR-2014-930,Ujjain
A. Muslim,0,52,Suspect,FIR-2013-572,Ujjain
Ishwar B. Bhandari,1,29,Criminal,FIR-2009-168,Bhopal
Agamjit Rai,1,21,Victim,FIR-2014-410,Bhopal
Virma  Kaami,0,51,Suspect,FIR-2021-591,Satna
R. Kevattatt,1,30,Criminal,FIR-2015-108,Sagar
Udasia Cowdury,0,54,Witness,FIR-2012-404,Indore
sabir ali saai,1,22,Suspect,FIR-2019-163,Rewa
S. Ghimire,0,29,Criminal,FIR-2012-502,Dewas
Deepak Kshetr,1,50,Suspect,FIR-2013-936,Gwalior
Vandu Kumari Teli,0,23,Suspect,FIR-2017-865,Gwalior
S. Fakir,1,43,Criminal,FIR-2006-294,Sagar
yasmin khatun,0,22,Witness,FIR-2001-992,Dewas
P. Pandey,0,60,Suspect,FIR-2009-101,Sagar
K. Kshetriya,0,39,Witness,FIR-2017-820,Dewas
Min Tharu,0,39,Witness,FIR-2004-955,Jabalpur
I. Thapa,1,53,Suspect,FIR-2014-918,Ujjain
Shiv Dakal,1,27,Criminal,FIR-2011-157,Rewa
Gyanisara Magar,0,38,Criminal,FIR-2003-125,Satna
Dhuire Park,1,59,Suspect,FIR-2016-505,Rewa
V. Karki,1,39,Suspect,FIR-2016-339,Gwalior
kamala giri,0,25,Victim,FIR-2006-776,Ujjain
K. Das,0,46,Suspect,FIR-2018-822,Ujjain
Neelam Devi Pasman,0,18,Criminal,FIR-2019-821,Jabalpur
Manasra  Waali,0,29,Criminal,FIR-2009-534,Indore
Lt. Singh Choudhary,1,43,Criminal,FIR-2023-992,Jabalpur
Sujan Adhikari,1,44,Criminal,FIR-2017-634,Gwalior
Min B. Dangi,1,48,Victim,FIR-2012-691,Sagar
Sarki M. Tamang,1,60,Suspect,FIR-2005-102,Indore
Aaiti Taman,0,56,Victim,FIR-2021-668,Dewas
Purna K. Pokhrel,0,19,Victim,FIR-2023-601,Ujjain
K. Vishwakarma,1,42,Victim,FIR-2023-316,Ujjain
Bhakti M. Gurung,0,56,Witness,FIR-2007-234,Jabalpur
S. Adhikari,1,28,Witness,FIR-2003-994,Gwalior
meena gurun,0,52,Criminal,FIR-2001-914,Bhopal
Sukh Sarda,1,42,Victim,FIR-2010-225,Dewas
Ganga D. Sunari,0,46,Suspect,FIR-2007-784,Satna
praniya . devi,0,18,Suspect,FIR-2012-729,Ujjain
Bijay  Chowdhaary,1,30,Suspect,FIR-2015-220,Gwalior
Sermaham Mad Miyan,1,34,Victim,FIR-2010-674,Rewa
Neelam D. Pasman,0,40,Criminal,FIR-2006-320,Sagar
dumber k. lavati,0,34,Victim,FIR-2013-680,Satna
Riya Agarwal,0,58,Suspect,FIR-2016-819,Rewa
Pramisa  Aryal,0,55,Witness,FIR-2014-409,Dewas
Vimaya Goldsmit,0,31,Victim,FIR-2024-200,Dewas
Kelvin  Malakar,1,42,Victim,FIR-2008-478,Ujjain
L. Bomb,0,18,Victim,FIR-2008-105,Rewa
srujana . majhi,0,36,Suspect,FIR-2020-847,Bhopal
Manisha  B.K.,0,52,Victim,FIR-2022-788,Gwalior
P. Magar,1,33,Suspect,FIR-2020-677,Rewa
Creation Manandhar,0,23,Criminal,FIR-2008-166,Jabalpur
Top Bahadur Basnet,1,30,Suspect,FIR-2000-275,Satna
Bundia Chowdhary,0,47,Witness,FIR-2011-996,Dewas
Sushil Yadav,1,26,Criminal,FIR-2014-808,Ujjain
Dill Gimire,0,32,Suspect,FIR-2009-823,Jabalpur
Susma  Limbu,0,56,Criminal,FIR-2015-944,Gwalior
Bikram Kark,1,40,Witness,FIR-2022-284,Bhopal
Eku Shrestha,0,57,Criminal,FIR-2016-474,Gwalior
Kirti Karki,1,58,Suspect,FIR-2024-338,Dewas
Pabitra Pandey,0,31,Criminal,FIR-2000-809,Sagar
Bharat Mandal,1,51,Suspect,FIR-2020-782,Ujjain
Meena Caudary,0,56,Suspect,FIR-2023-842,Ujjain
Shushil Rai,1,48,Criminal,FIR-2008-931,Rewa
Narayan Mahato,1,27,Suspect,FIR-2002-573,Dewas
phulmati lodh,0,56,Witness,FIR-2010-743,Jabalpur
Gokarna R. Nyupane,1,32,Victim,FIR-2010-731,Ujjain
Amirun Fakir,0,23,Criminal,FIR-2013-499,Dewas
Gunja Taru,0,57,Victim,FIR-2003-110,Satna
Sanjay Kumar Singh,1,52,Witness,FIR-2011-221,Satna
S. Silwal,0,39,Victim,FIR-2024-267,Jabalpur
debt profit margin,1,30,Witness,FIR-2023-518,Rewa
B. Chowdhary,0,45,Witness,FIR-2013-580,Satna
Rita . Ghatani,0,29,Suspect,FIR-2008-927,Ujjain
Lale Tamang,1,51,Victim,FIR-2006-145,Rewa
arun mukhiya,1,31,Victim,FIR-2023-546,Gwalior
D. Joshi,1,41,Victim,FIR-2013-574,Indore
Parmila Tapa,0,49,Criminal,FIR-2014-310,Bhopal
narayan . shreshtha,1,28,Witness,FIR-2008-148,Rewa
Prasade Tharu,1,29,Criminal,FIR-2003-849,Jabalpur
Maan Maya Limbu,0,58,Suspect,FIR-2015-351,Indore
Basanti Kumari Rawal,0,48,Victim,FIR-2014-301,Dewas
Arvind Verm,1,18,Criminal,FIR-2008-263,Jabalpur
Sulochan  Basnet,0,29,Suspect,FIR-2015-626,Dewas
Dilip Paij,1,40,Witness,FIR-2001-657,Rewa
K. Thapa,1,56,Suspect,FIR-2000-958,Dewas
Sitawari K. Mochini,0,38,Witness,FIR-2010-891,Satna
Wisdom Maya Vishwakarma,0,37,Suspect,FIR-2015-629,Dewas
Saroj Tharu,1,44,Criminal,FIR-2021-549,Jabalpur
Asha Devi Yadav,0,47,Criminal,FIR-2005-888,Jabalpur
poison tamaan,1,35,Witness,FIR-2001-891,Jabalpur
B. Gurung,0,27,Suspect,FIR-2005-119,Satna
Raviya D. Tharuni,0,31,Suspect,FIR-2011-434,Gwalior
Ramesh  Chaand,1,34,Witness,FIR-2010-718,Dewas
Rameshwari Bogti,0,48,Victim,FIR-2008-517,Jabalpur
Mali Chemjong,0,58,Witness,FIR-2013-974,Bhopal
Rina Devi Mukhiya,0,43,Suspect,FIR-2012-774,Bhopal
Shambhu Va,1,39,Witness,FIR-2000-681,Jabalpur
Diksha  Kaadel,0,18,Victim,FIR-2015-887,Sagar
Rekha Thap,0,50,Suspect,FIR-2010-623,Indore
D. Devkota,0,30,Victim,FIR-2004-893,Bhopal
Radhika Vadaila,0,43,Suspect,FIR-2001-164,Jabalpur
Narayan  Giri,1,50,Criminal,FIR-2005-853,Gwalior
Tilak Kark,1,45,Suspect,FIR-2019-228,Rewa
Tulsi  Thapa,0,39,Witness,FIR-2013-183,Indore
A. Yadav,1,58,Victim,FIR-2016-917,Jabalpur
Kheema Devi Visht Kshetri,0,49,Victim,FIR-2012-353,Rewa
peace fell,0,32,Victim,FIR-2004-412,Dewas
Kanaanya Lal Chowdhary,1,25,Witness,FIR-2022-431,Dewas
Listen Maya Taamaang,0,19,Suspect,FIR-2013-842,Satna
Sharmila  Khanal,0,37,Victim,FIR-2007-799,Bhopal
Saraswati Dhungan,0,38,Victim,FIR-2014-618,Jabalpur
Deva Raut Chhetri,0,55,Criminal,FIR-2000-802,Jabalpur
Sudip Ran,1,59,Criminal,FIR-2023-623,Indore
dil k. prajapati,0,44,Suspect,FIR-2019-157,Ujjain
chandra devi dhami,0,46,Witness,FIR-2000-920,Satna
padam bhul,1,31,Suspect,FIR-2011-208,Dewas
Seti Maya Praajaa,0,52,Witness,FIR-2003-898,Ujjain
Omprakash Coudary,1,40,Suspect,FIR-2006-217,Satna
Fuljhari Yadav,0,60,Witness,FIR-2005-481,Indore
Devi Choulaga,1,40,Suspect,FIR-2019-341,Satna
H. Chowdhary,1,44,Criminal,FIR-2018-206,Gwalior
Mansih old maan,1,52,Victim,FIR-2005-314,Satna
Babi Kumari Mandal,0,43,Criminal,FIR-2008-950,Bhopal
Kala D. Choudhary,0,49,Criminal,FIR-2013-409,Gwalior
Manoj P. Pandit,1,40,Victim,FIR-2007-647,Sagar
prithi tapa,1,46,Suspect,FIR-2014-408,Rewa
Bhadri Maya Lama,0,20,Criminal,FIR-2019-998,Satna
Bhagwati Bhattara,0,48,Witness,FIR-2007-736,Indore
sita sedhayi,0,26,Criminal,FIR-2015-747,Dewas
N. Parajuli,0,50,Victim,FIR-2019-394,Satna
N. Khatri,1,49,Criminal,FIR-2010-621,Dewas
Suman  Giri,1,18,Victim,FIR-2007-216,Satna
Silly Lama,0,50,Criminal,FIR-2008-776,Satna
Rama Chamar,1,25,Witness,FIR-2010-605,Dewas
Ramila . Gurung,0,25,Criminal,FIR-2008-913,Ujjain
R. Das,0,39,Victim,FIR-2015-657,Dewas
Sita Khanal,1,49,Witness,FIR-2014-441,Gwalior
sabir ali sai,1,60,Victim,FIR-2003-730,Bhopal
M. Tamang,1,45,Witness,FIR-2013-817,Bhopal
Sita Limvu,0,56,Victim,FIR-2023-263,Sagar
Krishna Raj Bhatt,1,31,Criminal,FIR-2013-467,Satna
Vishnu Maya Aryaal,0,43,Suspect,FIR-2018-278,Gwalior
Bhim Kala Basnet,0,52,Victim,FIR-2022-634,Ujjain
Sriram Balam,1,34,Witness,FIR-2005-491,Sagar
Bharat Manda,1,59,Criminal,FIR-2007-575,Indore
Rambabu Kalwa,1,45,Victim,FIR-2008-669,Jabalpur
Shesav Verma,1,48,Witness,FIR-2017-122,Gwalior
Lakshmi Lam,0,57,Witness,FIR-2009-279,Bhopal
H. Gurung,1,39,Criminal,FIR-2023-990,Ujjain
Pashupati Thapa Sris,1,24,Criminal,FIR-2023-463,Gwalior
Divas  Garre,1,54,Criminal,FIR-2001-423,Indore
Virendra Mall,1,47,Suspect,FIR-2015-233,Dewas
Upendra Shah,1,52,Victim,FIR-2005-871,Jabalpur
Savina  Rie,0,21,Victim,FIR-2015-132,Satna
Eliza Lakshmi Sajun,0,34,Suspect,FIR-2010-299,Sagar
Prashil Thapa,1,21,Witness,FIR-2020-523,Sagar
Gaurav . Balam,1,28,Witness,FIR-2008-941,Indore
Mohan P. Lamichhane,1,37,Witness,FIR-2009-357,Indore
Sita K. Limvu,0,34,Suspect,FIR-2018-972,Sagar
Shankhlal  Gajmerkami,1,41,Suspect,FIR-2008-486,Rewa
Navin Gyawal,1,53,Witness,FIR-2013-593,Rewa
Prem Tamang,1,42,Witness,FIR-2022-503,Ujjain
Ram Vilas Maandaal,1,36,Suspect,FIR-2007-423,Indore
Pawan S. Dhami,1,38,Victim,FIR-2006-452,Jabalpur
V. Luintel,0,29,Victim,FIR-2017-991,Jabalpur
K. Barber,0,25,Suspect,FIR-2024-998,Ujjain
Prakash  Yaadaav,1,34,Witness,FIR-2011-768,Rewa
ram sharan shrestha,1,33,Suspect,FIR-2000-205,Bhopal
Hridaya Sangraula,0,56,Victim,FIR-2004-564,Gwalior
Sarita Gurung,0,31,Criminal,FIR-2001-152,Sagar
Krishna . Pun,1,39,Victim,FIR-2022-890,Bhopal
Im Bahadur Saru,1,33,Victim,FIR-2018-706,Ujjain
Krishna Pun,1,29,Victim,FIR-2014-653,Satna
Lotus  Kaami,0,51,Criminal,FIR-2023-435,Ujjain
Nabin Kumar Baishya,1,55,Victim,FIR-2009-786,Dewas
Jokhani Taruni,0,48,Suspect,FIR-2022-660,Sagar
T. Lama,1,20,Criminal,FIR-2017-413,Dewas
Ganga Bastakoti Nepal,0,24,Suspect,FIR-2022-428,Dewas
Niwar Air,1,31,Witness,FIR-2007-161,Rewa
N. Officer,0,21,Witness,FIR-2020-740,Jabalpur
"H. vik,",1,23,Witness,FIR-2015-142,Indore
Pramod Thar,1,53,Witness,FIR-2013-915,Satna
L. Mahara,0,43,Witness,FIR-2018-956,Satna
D. Mochi,0,36,Criminal,FIR-2018-823,Jabalpur
ranjit yadav,1,30,Victim,FIR-2014-655,Gwalior
Hira K. Karki,0,60,Suspect,FIR-2015-814,Ujjain
archana dev,0,36,Witness,FIR-2017-655,Satna
Ramesha  Bhaandaari,0,49,Suspect,FIR-2003-920,Jabalpur
Tularam Thakur Barhi,1,57,Criminal,FIR-2018-880,Rewa
S. Pasman,1,59,Victim,FIR-2017-898,Dewas
zaheer khan,1,37,Victim,FIR-2015-938,Jabalpur
Lakshmi  Bhaattaaraai,0,25,Witness,FIR-2017-643,Indore
Amit . Sada,1,38,Criminal,FIR-2000-711,Bhopal
Kamla Adhikar,0,19,Witness,FIR-2010-914,Ujjain
Buddhiram Thar,1,19,Criminal,FIR-2020-712,Sagar
vinod gurun,1,31,Suspect,FIR-2018-777,Sagar
Kshama Devi Gyawali,0,59,Victim,FIR-2016-736,Satna
Daiya Ry,0,60,Criminal,FIR-2004-160,Sagar
Pawanraj . Dahal,1,24,Victim,FIR-2018-274,Sagar
vinita ra,0,38,Suspect,FIR-2022-168,Indore
Lila D. Nepal,0,32,Witness,FIR-2001-482,Bhopal
D. Damai,1,52,Witness,FIR-2014-872,Bhopal
hope maya manandhar,0,54,Victim,FIR-2007-227,Bhopal
Nilalakshmi Lama,0,30,Witness,FIR-2007-340,Ujjain
indira rana maagaar,0,41,Suspect,FIR-2016-677,Gwalior
Bal Bahadur Maagaar,1,55,Witness,FIR-2011-556,Dewas
Ramdebi Tilija Gauchan,0,46,Suspect,FIR-2013-200,Bhopal
Savitri Shrestha Ghimire,0,30,Witness,FIR-2020-981,Ujjain
Bam B. Thapa,1,41,Suspect,FIR-2019-635,Bhopal
Murari Raj Chowdhaary,1,55,Victim,FIR-2012-568,Indore
Hum Bahadur Thaapaa,1,18,Witness,FIR-2002-460,Sagar
Bhima Khadka,0,56,Victim,FIR-2005-731,Jabalpur
Tara Pande,0,40,Witness,FIR-2008-794,Satna
Dandvir  Khatri,1,34,Criminal,FIR-2000-351,Indore
M. Chemjong,0,21,Victim,FIR-2022-543,Sagar
Manda Sin Muktan,1,48,Criminal,FIR-2000-230,Dewas
Bhakta Maga,1,37,Witness,FIR-2020-834,Sagar
Dil Bastola,0,56,Victim,FIR-2019-253,Indore
Siliya Devi Mukhiya,0,19,Suspect,FIR-2012-232,Satna
Amwar Pradan,1,26,Witness,FIR-2022-590,Sagar
nanda  joshi,0,19,Criminal,FIR-2007-955,Indore
Umesh N. Shah,1,19,Criminal,FIR-2007-293,Indore
maina . tamang,0,25,Victim,FIR-2021-755,Indore
Bhimsen  Ghale,1,60,Criminal,FIR-2015-791,Rewa
Thuli Maya Basnet,0,56,Suspect,FIR-2024-232,Indore
Surjamuni Tajpuria,0,45,Criminal,FIR-2015-351,Ujjain
Kanchi Maya Muktaan,0,22,Witness,FIR-2017-333,Gwalior
Samsam Ravka,0,32,Witness,FIR-2009-964,Bhopal
Rate  Rokaia,1,57,Witness,FIR-2003-782,Ujjain
Manju D. Bokati,0,30,Criminal,FIR-2012-699,Bhopal
M. Adhikari,1,58,Victim,FIR-2000-881,Satna
runa  devi,0,60,Witness,FIR-2013-176,Bhopal
Shudarshan P. Wagle,1,23,Witness,FIR-2012-935,Satna
Tilak Ra,1,38,Witness,FIR-2018-238,Jabalpur
Ram Manoj Daas,1,47,Suspect,FIR-2011-865,Rewa
Rambhajan Shah Sonar,1,35,Witness,FIR-2005-413,Dewas
poonam kumari devi,0,50,Suspect,FIR-2010-253,Gwalior
S. Pariyar,1,39,Victim,FIR-2019-233,Indore
Jai Gimire,1,47,Victim,FIR-2006-314,Jabalpur
Devilal Bandari,1,44,Victim,FIR-2007-582,Ujjain
Hari Dungana,1,41,Victim,FIR-2023-157,Gwalior
Sarita Damai,0,33,Suspect,FIR-2005-216,Jabalpur
Manoj Chemjong,1,54,Victim,FIR-2018-492,Indore
Bazil Mian Ansaari,1,36,Criminal,FIR-2001-946,Dewas
Chakra Chan,1,41,Witness,FIR-2016-962,Rewa
ksandra tamaan,1,49,Victim,FIR-2008-794,Rewa
Thuli Maya Lama,0,28,Suspect,FIR-2013-893,Sagar
k. budathoki,0,39,Witness,FIR-2023-334,Sagar
Suvita  Rai,0,32,Suspect,FIR-2004-156,Satna
Dinesh Kumar Shah Sud,1,24,Witness,FIR-2013-737,Ujjain
Rupa Vishwakarm,0,19,Suspect,FIR-2011-538,Jabalpur
U. Shah,1,23,Victim,FIR-2001-955,Satna
B. Ghale,1,21,Suspect,FIR-2003-288,Sagar
Shudarshan Prasad Wagle,1,58,Criminal,FIR-2019-476,Satna
prithi raj rai,1,40,Criminal,FIR-2024-375,Ujjain
Sanu M. Jirel,0,51,Victim,FIR-2010-364,Jabalpur
p. devi,0,41,Suspect,FIR-2017-526,Sagar
Padma Nanda Timaalsinaa,1,52,Witness,FIR-2008-432,Rewa
s. limvu,1,43,Suspect,FIR-2008-763,Indore
Sunita Burm,0,45,Witness,FIR-2018-958,Rewa
Juju Maharjan,1,24,Criminal,FIR-2008-159,Bhopal
Gyan Sunuwa,0,44,Witness,FIR-2007-912,Dewas
Nikita Lama,0,24,Witness,FIR-2007-590,Sagar
J. re,1,18,Victim,FIR-2020-396,Indore
V. Nagarkoti,0,42,Suspect,FIR-2006-858,Rewa
Gyan K. Sunuwar,0,54,Victim,FIR-2020-388,Dewas
Rajendra Dami,1,54,Criminal,FIR-2012-631,Satna
Kamal Kumari Singh (Senam Kamani),0,50,Victim,FIR-2008-255,Sagar
Shiv Shresth,1,51,Criminal,FIR-2012-955,Dewas
Saraswati Gautam,0,42,Victim,FIR-2017-696,Ujjain
Mina  Goldsmith,0,48,Witness,FIR-2010-573,Indore
Uma  Bisht,0,42,Criminal,FIR-2006-253,Dewas
Hari P. Joshi,1,60,Suspect,FIR-2021-559,Rewa
Parmila Cai,0,48,Witness,FIR-2005-400,Ujjain
Nirmala  Acharya,0,55,Victim,FIR-2020-791,Dewas
Sultan Miya Ansaari,1,30,Criminal,FIR-2003-862,Ujjain
Parshuram . Tharu,1,48,Suspect,FIR-2010-109,Indore
Saraswati . Goldsmith,0,37,Criminal,FIR-2023-761,Indore
R. Dangaura,0,20,Suspect,FIR-2003-302,Gwalior
Amar Sresta,1,53,Victim,FIR-2007-157,Gwalior
Govind  Pariyar,1,25,Criminal,FIR-2010-345,Satna
Ram Koiri,1,32,Witness,FIR-2011-703,Gwalior
R. Danuwar,1,54,Criminal,FIR-2024-827,Dewas
Tech Bahadur Singh Thakuri,1,42,Suspect,FIR-2015-276,Bhopal
Sulekha Yada,0,33,Suspect,FIR-2009-463,Gwalior
Seraj  Ansaari,1,44,Victim,FIR-2016-101,Jabalpur
H. Shrestha,1,34,Victim,FIR-2018-609,Dewas
Devka  Adhikari,0,45,Victim,FIR-2016-836,Bhopal
Bhim Maya Khadka,0,28,Witness,FIR-2005-703,Gwalior
M. Chaman,0,38,Suspect,FIR-2010-233,Satna
Brijesh Chowdhary,1,55,Witness,FIR-2013-995,Gwalior
Revta Maga,0,30,Suspect,FIR-2018-169,Dewas
Arvind Kumar Mahato,1,59,Suspect,FIR-2015-901,Jabalpur
devinder . pal,1,54,Victim,FIR-2009-567,Gwalior
Kissun Sah Sudi,1,34,Witness,FIR-2016-726,Rewa
bhavna  rai,0,46,Witness,FIR-2004-822,Jabalpur
Jaylal . Mehra,1,55,Criminal,FIR-2014-124,Indore
Vishwa Bandhu Jimmy (Khamyang),1,37,Witness,FIR-2014-654,Bhopal
Jhank Bahadur Tailor,1,52,Victim,FIR-2003-739,Dewas
Bhadri Lam,0,59,Victim,FIR-2007-916,Rewa
peace . fell,0,25,Criminal,FIR-2007-482,Sagar
Kalika . Nepali,0,42,Victim,FIR-2020-919,Satna
Kanhai Teli,1,33,Criminal,FIR-2011-572,Jabalpur
Dhan Kumari Baral,0,32,Criminal,FIR-2001-289,Jabalpur
S. Thakur,1,19,Witness,FIR-2004-289,Jabalpur
Gulawati  Saardaar,0,47,Suspect,FIR-2003-632,Rewa
Lila Nepa,0,56,Victim,FIR-2023-519,Jabalpur
Krishna Mokta,1,47,Victim,FIR-2007-195,Indore
M. Gurung,1,44,Victim,FIR-2003-884,Ujjain
